id,oppose,reason,source,url,archived_url,status,alt_url,sessionlaw_url
nc2025hb171,Y,anti dei,ENC,https://www.ncleg.gov/BillLookUp/2025/h171,https://archive.ph/iy1MD,,,
nc2025hb519,Y,Healthcare Minor Consent,ENC,https://www.ncleg.gov/BillLookUp/2025/h519,https://archive.ph/cIyA0,,,
nc2025hb560,Y,Anti trans foster care bill,ENC,https://www.ncleg.gov/BillLookUp/2025/h560,https://archive.ph/UIlNX,,https://www.ncleg.gov/BillLookUp/2025/S442,
nc2025hb606,Y,Healthcare Civil Action,ENC,https://www.ncleg.gov/BillLookUp/2025/h606,https://archive.ph/NQVA5,,,
nc2025hb636,Y,Librarian arrests,ENC,https://www.ncleg.gov/BillLookUp/2025/h636,https://archive.ph/s0Nuq,Passed House,,
nc2025hb781,Y,Hate Bill 2 (Bathrooms),ENC,https://www.ncleg.gov/BillLookUp/2025/H791,https://archive.ph/wB79g,,https://www.ncleg.gov/BillLookUp/2025/S516,
nc2025sb442,Y,Anti trans foster care bill,ENC,https://www.ncleg.gov/BillLookUp/2025/S442,https://archive.ph/ka5oJ,,https://www.ncleg.gov/BillLookUp/2025/h560,
nc2025sb516,Y,Hate Bill 2 (Bathrooms),ENC,https://www.ncleg.gov/BillLookUp/2025/S516,https://archive.ph/5dYfY,,https://www.ncleg.gov/BillLookUp/2025/H791,
nc2025sb050,Y,Gun Bill,DOL,https://www.ncleg.gov/BillLookUp/2025/SB50,https://archive.ph/MMROI,,,
nc2025sb058,Y,Legislative Power Grab,DOL,https://www.ncleg.gov/BillLookUp/2025/SB58,https://archive.ph/VzmMf,,https://www.ncleg.gov/BillLookUp/2025/H72,
nc2025sb092,Y,Schools,DOL,https://www.ncleg.gov/BillLookUp/2025/SB92,https://archive.ph/6rbLa,,,
nc2025sb153,Y,Immigration,DOL,https://www.ncleg.gov/BillLookUp/2025/SB153,https://archive.ph/0U9Dl,,,
nc2025sb227,Y,Anti-DEI,DOL,https://www.ncleg.gov/BillLookUp/2025/SB227,https://archive.ph/t7FWL,,,
nc2025sb261,Y,Environment,DOL,https://www.ncleg.gov/BillLookUp/2025/SB261,https://archive.ph/fETAG,,,
nc2025sb290,Y,Legislative Power Grab,DOL,https://www.ncleg.gov/BillLookUp/2025/SB290,https://archive.ph/e3rrY,,https://www.ncleg.gov/BillLookUp/2025/H402,
nc2025sb327,Y,Bitcoin,DOL,https://www.ncleg.gov/BillLookUp/2025/SB327,,,,
nc2025sb389,,Schools,DOL,https://www.ncleg.gov/BillLookUp/2025/SB389,,,,
nc2025sb403,,Poor People,DOL,https://www.ncleg.gov/BillLookUp/2025/SB403,,,,
nc2025sb442,,Anti-LGBTQ+,DOL,https://www.ncleg.gov/BillLookUp/2025/SB442,,,,
nc2025sb474,,Legislative Power Grab,DOL,https://www.ncleg.gov/BillLookUp/2025/SB474,,,,
nc2025sb516,,Anti-LGBTQ+,DOL,https://www.ncleg.gov/BillLookUp/2025/SB516,,,,
nc2025sb554,,Environment,DOL,https://www.ncleg.gov/BillLookUp/2025/SB554,,,,
nc2025sb558,,Anti-DEI,DOL,https://www.ncleg.gov/BillLookUp/2025/SB558,,,,
nc2025sb724,,Homelessness,DOL,https://www.ncleg.gov/BillLookUp/2025/SB724,,,,
nc2025hb072,,,,,,,,
nc2025hb092,,,,,,,,
nc2025hb113,,,,,,,,
nc2025hb127,,,,,,,,
nc2025hb171,,,,,,,,
nc2025hb193,,,,,,,,
nc2025hb234,,,,,,,,
nc2025hb239,,,,,,,,
nc2025hb261,,,,,,,,
nc2025hb270,,,,,,,,
nc2025hb294,,,,,,,,
nc2025hb302,,,,,,,,
nc2025hb318,,,,,,,,
nc2025hb379,,,,,,,,
nc2025hb402,,,,,,,,
nc2025hb411,,,,,,,,
nc2025hb427,,,,,,,,
nc2025hb443,,,,,,,,
nc2025hb454,,,,,,,,
nc2025hb491,,,,,,,,
nc2025hb519,,,,,,,,
nc2025hb553,,,,,,,,
nc2025hb560,,,,,,,,
nc2025hb573,,,,,,,,
