office,country,province,muni,name,idsrc,party,id,url,archived_url,interest,session
nc house district 003,United States,NC,,Steve Tyson,ncid,REP,BD19643,https://www.ncleg.gov/Members/Biography/H/774,https://archive.ph/y8ehj,,2025
nc house district 004,United States,NC,,Jimmy Dixon,ncid,REP,BK4439,https://www.ncleg.gov/Members/Biography/H/613,https://archive.ph/mrj2J,,2025
nc house district 005,United States,NC,,Bill Ward,ncid,REP,DG32209,https://www.ncleg.gov/Members/Biography/H/816,https://archive.ph/l0P0h,,2025
nc house district 006,United States,NC,,Joseph Pike,ncid,REP,CL44427,https://www.ncleg.gov/Members/Biography/H/808,https://archive.ph/IPhJA,,
nc house district 007,United States,NC,,Matthew Winslow,ncid,REP,BP33425,https://www.ncleg.gov/Members/Biography/H/776,https://archive.ph/DIjIY,,2025
nc house district 012,United States,NC,,Chris Humphrey,ncid,REP,CM18120,https://www.ncleg.gov/Members/Biography/H/747,https://archive.ph/7IEsM,MOVED,2025
nc house district 013,United States,NC,,Celeste C. Cairns,ncid,REP,BE202559,https://www.ncleg.gov/Members/Biography/H/797,https://archive.ph/mdTnF,F,2025
nc house district 016,United States,NC,,Carson Smith,ncid,REP,DH21074,https://www.ncleg.gov/Members/Biography/H/755,https://archive.ph/a801m,,2025
nc house district 017,United States,NC,,Frank Iler,ncid,REP,AK54827,https://www.ncleg.gov/Members/Biography/H/598,https://archive.ph/IPhJA,,
nc house district 019,United States,NC,,Charles W. Miller,ncid,REP,AK16601,https://www.ncleg.gov/Members/Biography/H/778,https://archive.ph/SjVqx,Deputy,2025
nc house district 020,United States,NC,,"Ted Davis, Jr",ncid,REP,DB34076,https://www.ncleg.gov/Members/Biography/H/637,https://archive.ph/AsTwP,,2025
nc house district 022,United States,NC,,William D. Brisson,ncid,REP,AJ16224,https://www.ncleg.gov/Members/Biography/H/558,https://archive.ph/cHstN,,2025
nc house district 026,United States,NC,,Donna McDowell White,ncid,REP,CJ11483,https://www.ncleg.gov/Members/Biography/H/728,https://archive.ph/o63zg,F,2025
nc house district 028,United States,NC,,Larry C. Strickland,ncid,REP,CJ19407,https://www.ncleg.gov/Members/Biography/H/727,https://archive.ph/RLEGa,,2025
nc house district 043,United States,NC,,Diane Wheatley,ncid,REP,BE54355,https://www.ncleg.gov/Members/Biography/H/785,https://archive.ph/Ugp6r,F,2025
nc house district 046,United States,NC,,Brenden H. Jones (Republican),ncid,REP,BC41700,https://www.ncleg.gov/Members/Biography/H/723,https://archive.ph/1HQMX,,2025
nc house district 047,United States,NC,,Jarrod Lowery (Rep),ncid,REP,DR94774,https://www.ncleg.gov/Members/Biography/H/807,https://archive.ph/fYgRm,,2025
